"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"138",0.846312196246121,0.00953696121148012,"./rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"140",0.819834831100296,0.0107714025272067,"./rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_1000_2yr_nDH96_varE1_Ne600_Sd_GP","rand",1000,"2yr",10,"nDH96","Ne=600","heritability: 0.5"
"142",1.00660632823235,0.0106641017797425,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"143",0.925352561749622,0.0159926768258983,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"144",0.815293648190893,0.00985512451957039,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"145",0.76015806200643,0.0218514314585858,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"146",0.730950988268526,0.0226178290356006,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"147",0.687180868856491,0.0246613017585459,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"148",0.644295360093995,0.0254826201047432,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"149",0.611787529151432,0.0208284335626909,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",9,"nDH96","Ne=600","heritability: 0.5"
"150",0.568074706765537,0.0237390635179141,"./rand_400_1yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_1yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"1yr",10,"nDH96","Ne=600","heritability: 0.5"
"152",1.0058760738983,0.011416657021779,"./rand_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"154",0.915411303972181,0.0153563684573797,"./rand_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"156",0.815364286380145,0.0145113987019906,"./rand_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"158",0.794011594140955,0.0178929137098688,"./rand_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"160",0.740231956748036,0.0221191429072904,"./rand_400_2yr_nDH96_varE1_Ne600_Sd_GP.csv","rand_400_2yr_nDH96_varE1_Ne600_Sd_GP","rand",400,"2yr",10,"nDH96","Ne=600","heritability: 0.5"
