"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"117",1.73345557254384,0.00838958264927315,"./rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"118",1.72750666569905,0.0190091435920559,"./rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"119",1.74875452027604,0.0103988578519023,"./rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"120",1.74130582037504,0.0128694656082573,"./rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"122",1.72096399351959,0.0187644139853279,"./rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"124",1.72482128817575,0.0211195651154031,"./rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"126",1.74855824103864,0.0173666949395137,"./rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"128",1.75584045711309,0.0141087233437133,"./rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPselInt_Reps","rand",400,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"130",1.75311903707869,0.0149108107900671,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.2"
"131",1.75285330156567,0.00837527008944008,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.2"
"132",1.73824205591789,0.00715935712384893,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.2"
"133",1.74322877326151,0.00791153423715073,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.2"
"134",1.74892819817605,0.0063149213374112,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"1yr",6,"nDH96","Ne=60","heritability: 0.2"
"135",1.75683815981123,0.00703842173224022,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"1yr",7,"nDH96","Ne=60","heritability: 0.2"
"136",1.74333884232712,0.00565953236859312,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"1yr",8,"nDH96","Ne=60","heritability: 0.2"
"138",1.76404208619718,0.0120566000725082,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"2yr",2,"nDH96","Ne=60","heritability: 0.2"
"140",1.75599002672081,0.00773168457767374,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"2yr",4,"nDH96","Ne=60","heritability: 0.2"
"142",1.74723825865848,0.00526680977382497,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"2yr",6,"nDH96","Ne=60","heritability: 0.2"
"144",1.7560799306825,0.00807503649516278,"./pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_1000_2yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",1000,"2yr",8,"nDH96","Ne=60","heritability: 0.2"
"146",1.66854027684122,0.0225296953254875,"./pheno_400_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",400,"1yr",2,"nDH96","Ne=60","heritability: 0.2"
"147",1.74074491641362,0.0248704288533538,"./pheno_400_1yr_nDH96_varE4_Ne60_GPselInt_Reps.csv","pheno_400_1yr_nDH96_varE4_Ne60_GPselInt_Reps","pheno",400,"1yr",3,"nDH96","Ne=60","heritability: 0.2"
