"","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nGP","Ne","varE"
"88",0.445118524665512,0.0148491597220704,"./pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"90",0.304407768206085,0.0152868285922724,"./pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"92",0.392257541604244,0.019305566122333,"./pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"94",0.382931227106218,0.0163830620457415,"./pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"96",0.375273027398694,0.0175487464499951,"./pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","pheno_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","pheno",400,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"98",0.423915823722446,0.0148493314684214,"./rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"99",0.434131938762736,0.0161010400876407,"./rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"100",0.464101478639763,0.0158806941741631,"./rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"101",0.484192686978284,0.0132364828319551,"./rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"102",0.509830590095822,0.012558057232694,"./rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"103",0.514265170065431,0.0117115714980963,"./rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"104",0.512117704784512,0.00923401396698497,"./rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"106",0.455939475093914,0.0108647278840849,"./rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"108",0.43747530357636,0.0132896359566377,"./rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"110",0.441962230646923,0.0116117505815351,"./rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"112",0.447750314859373,0.0107605984457028,"./rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_1000_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",1000,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"114",0.45518706584719,0.0217933439841508,"./rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"1yr",2,"nDH96","Ne=600","heritability: 0.5"
"115",0.44190352853988,0.0241699960916006,"./rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"1yr",3,"nDH96","Ne=600","heritability: 0.5"
"116",0.463269885957392,0.0172204859542786,"./rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"1yr",4,"nDH96","Ne=600","heritability: 0.5"
"117",0.47395654457878,0.0232749514529098,"./rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"1yr",5,"nDH96","Ne=600","heritability: 0.5"
"118",0.490333280405492,0.0145149252768798,"./rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"1yr",6,"nDH96","Ne=600","heritability: 0.5"
"119",0.477371680075106,0.013134065021407,"./rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"1yr",7,"nDH96","Ne=600","heritability: 0.5"
"120",0.475520458983375,0.00985976013905208,"./rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_1yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"1yr",8,"nDH96","Ne=600","heritability: 0.5"
"122",0.452235000163659,0.00931652169461949,"./rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"2yr",2,"nDH96","Ne=600","heritability: 0.5"
"124",0.447413643759415,0.0198709441783691,"./rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"2yr",4,"nDH96","Ne=600","heritability: 0.5"
"126",0.422449629465125,0.0152855544749434,"./rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"2yr",6,"nDH96","Ne=600","heritability: 0.5"
"128",0.469939597334198,0.018203885655136,"./rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps.csv","rand_400_2yr_nDH96_varE1_Ne600_GPcor_Reps","rand",400,"2yr",8,"nDH96","Ne=600","heritability: 0.5"
"130",0.479342673136576,0.0150751693951845,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"1yr",2,"nDH96","Ne=60","heritability: 0.2"
"131",0.474705326345973,0.0150311031525041,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"1yr",3,"nDH96","Ne=60","heritability: 0.2"
"132",0.453822518631747,0.0101650486751241,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"1yr",4,"nDH96","Ne=60","heritability: 0.2"
"133",0.475163000079124,0.011387775231642,"./pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps.csv","pheno_1000_1yr_nDH96_varE4_Ne60_GPcor_Reps","pheno",1000,"1yr",5,"nDH96","Ne=60","heritability: 0.2"
