"","X","Mean","StdErr","Selection","Shorten","SelectSP","TestSP","Year","Cycles","nDH","Ne","varE"
"166",166,0.773110666484333,0.0241030277375436,"./rand_400_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"2yr",5,"nDH24","Ne60","varE4"
"167",167,0.81280764396775,0.0246577903836958,"./rand_400_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"2yr",6,"nDH24","Ne60","varE4"
"168",168,1.20380456186319,0.0275606986783927,"./rand_400_2yr_nDH24_varE4_Ne60_Mean_GP.csv","rand_400_2yr_nDH24_varE4_Ne60_Mean_GP","rand",400,"2yr",7,"nDH24","Ne60","varE4"
"197",197,0.0019515895812333,0.00758123831762584,"./rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"1yr",1,"nDH24","Ne600","varE4"
"198",198,0.0108259327245656,0.00790892393429297,"./rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"1yr",2,"nDH24","Ne600","varE4"
"199",199,0.345818573038849,0.011310060888929,"./rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"1yr",3,"nDH24","Ne600","varE4"
"200",200,0.708263867450813,0.0133753601280594,"./rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"1yr",4,"nDH24","Ne600","varE4"
"201",201,1.08299777871426,0.0175921746010784,"./rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"1yr",5,"nDH24","Ne600","varE4"
"202",202,1.45464345005681,0.0221773959754881,"./rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"1yr",6,"nDH24","Ne600","varE4"
"203",203,1.82349289264574,0.0273834138714646,"./rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_1yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"1yr",7,"nDH24","Ne600","varE4"
"204",204,-0.00827172908051266,0.00738735542107099,"./rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"2yr",1,"nDH24","Ne600","varE4"
"205",205,-0.00647829951658591,0.00794902938941737,"./rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"2yr",2,"nDH24","Ne600","varE4"
"206",206,0.330589349936844,0.0111788075959521,"./rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"2yr",3,"nDH24","Ne600","varE4"
"207",207,0.324947505091796,0.01167391966534,"./rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"2yr",4,"nDH24","Ne600","varE4"
"208",208,0.689225841481437,0.0165253741487153,"./rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP.csv","rand_1000_2yr_nDH24_varE4_Ne600_Mean_GP","rand",1000,"2yr",5,"nDH24","Ne600","varE4"
